Timestamp,Attr0,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18
21,0.48,0.5,0.49,0.46,0.32,0.75,0.28,0.25,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.25,0.25,0.26
22,0.48,0.5,0.49,0.45,0.32,0.76,0.26,0.27,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.25,0.26
23,0.48,0.5,0.49,0.45,0.32,0.76,0.32,0.25,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.24,0.24,0.25
24,0.48,0.5,0.49,0.46,0.32,0.76,0.71,0.23,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.24,0.24,0.26
25,0.47,0.5,0.49,0.45,0.32,0.76,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.23,0.24,0.25
26,0.47,0.5,0.49,0.45,0.32,0.77,0.25,0.22,0.23,0.21,0.21,0.22,0.22,0.22,0.21,0.23,0.24,0.25
27,0.48,0.5,0.49,0.45,0.32,0.77,0.25,0.23,0.23,0.21,0.21,0.21,0.22,0.21,0.21,0.23,0.24,0.25
28,0.48,0.5,0.49,0.46,0.32,0.77,0.23,0.21,0.23,0.21,0.21,0.21,0.22,0.21,0.21,0.23,0.23,0.24
29,0.48,0.5,0.49,0.46,0.32,0.77,0.28,0.23,0.23,0.2,0.21,0.21,0.22,0.21,0.2,0.23,0.23,0.24
30,0.48,0.5,0.49,0.46,0.32,0.77,0.3,0.23,0.23,0.2,0.21,0.21,0.21,0.21,0.2,0.23,0.23,0.24
31,0.48,0.5,0.49,0.45,0.32,0.77,0.26,0.22,0.23,0.2,0.2,0.21,0.21,0.21,0.2,0.23,0.23,0.24
32,0.48,0.5,0.49,0.46,0.32,0.78,0.24,0.21,0.23,0.2,0.2,0.2,0.21,0.2,0.2,0.23,0.23,0.24
33,0.48,0.5,0.49,0.45,0.32,0.78,0.28,0.25,0.23,0.2,0.2,0.2,0.21,0.2,0.2,0.23,0.23,0.24
34,0.48,0.5,0.49,0.45,0.32,0.78,0.26,0.21,0.23,0.2,0.2,0.2,0.21,0.2,0.2,0.23,0.22,0.23
35,0.48,0.5,0.49,0.45,0.32,0.78,0.24,0.22,0.23,0.19,0.2,0.2,0.21,0.2,0.19,0.23,0.22,0.23
36,0.48,0.5,0.49,0.45,0.32,0.78,0.22,0.23,0.23,0.19,0.19,0.2,0.21,0.2,0.19,0.22,0.22,0.23
37,0.48,0.5,0.49,0.47,0.32,0.78,0.32,0.21,0.23,0.19,0.2,0.2,0.21,0.2,0.19,0.23,0.22,0.23
38,0.48,0.5,0.55,0.46,0.32,0.78,0.29,0.2,0.23,0.19,0.19,0.2,0.21,0.2,0.19,0.22,0.22,0.23
39,0.48,0.5,0.55,0.46,0.32,0.78,0.34,0.22,0.23,0.19,0.19,0.2,0.21,0.2,0.19,0.23,0.22,0.24
40,0.48,0.5,0.49,0.46,0.32,0.78,0.33,0.21,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.23,0.22,0.24
41,0.48,0.5,0.49,0.46,0.32,0.78,0.35,0.21,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23
42,0.48,0.5,0.49,0.47,0.32,0.78,0.26,0.21,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23
43,0.48,0.5,0.49,0.45,0.32,0.78,0.24,0.24,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23
44,0.48,0.5,0.49,0.45,0.32,0.78,0.26,0.21,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23
45,0.48,0.5,0.49,0.46,0.32,0.78,0.23,0.21,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23
46,0.47,0.5,0.49,0.48,0.32,0.78,0.21,0.21,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23
47,0.48,0.92,0.62,0.54,0.32,0.77,0.23,0.2,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23
48,0.48,1.0,0.55,0.82,0.32,0.72,0.24,0.28,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.25,0.22,0.27
49,0.48,1.0,0.55,0.82,0.32,0.72,0.25,0.29,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.26,0.22,0.26
50,0.48,1.0,0.49,0.63,0.32,0.76,0.3,0.25,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.23,0.22,0.24
51,0.48,0.5,0.49,0.46,0.32,0.78,0.29,0.21,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23
52,0.48,0.5,0.49,0.45,0.32,0.78,0.23,0.21,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.23
53,0.48,0.5,0.49,0.45,0.32,0.78,0.23,0.21,0.23,0.19,0.19,0.2,0.2,0.2,0.19,0.22,0.22,0.23
54,0.48,0.5,0.49,0.46,0.32,0.78,0.28,0.22,0.23,0.19,0.19,0.2,0.21,0.2,0.19,0.23,0.22,0.23
55,0.48,0.5,0.49,0.45,0.32,0.78,0.31,0.22,0.23,0.19,0.2,0.2,0.21,0.2,0.19,0.23,0.22,0.23
56,0.48,0.5,0.49,0.49,0.32,0.78,0.26,0.22,0.23,0.2,0.2,0.2,0.21,0.2,0.2,0.23,0.22,0.24
57,0.48,0.5,0.49,0.48,0.32,0.78,0.27,0.21,0.23,0.2,0.2,0.2,0.21,0.2,0.2,0.24,0.23,0.25
58,0.48,0.5,0.49,0.47,0.32,0.78,0.27,0.22,0.23,0.2,0.2,0.2,0.21,0.2,0.2,0.23,0.23,0.24
59,0.48,0.5,0.49,0.46,0.32,0.77,0.19,0.22,0.23,0.2,0.2,0.21,0.21,0.21,0.2,0.23,0.23,0.24
60,0.48,0.5,0.49,0.46,0.32,0.77,0.26,0.21,0.23,0.2,0.21,0.21,0.21,0.21,0.2,0.23,0.23,0.24
61,0.47,0.5,0.49,0.46,0.32,0.77,0.31,0.22,0.23,0.21,0.21,0.21,0.22,0.21,0.21,0.23,0.24,0.24
62,0.47,0.5,0.49,0.45,0.32,0.77,0.31,0.23,0.23,0.21,0.21,0.22,0.22,0.22,0.21,0.23,0.24,0.25
63,0.49,0.5,0.49,0.45,0.32,0.76,0.34,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.24,0.25
64,0.48,0.5,0.49,0.46,0.32,0.76,0.29,0.24,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.24,0.24,0.25
65,0.48,0.5,0.49,0.47,0.32,0.76,0.28,0.22,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.25,0.25,0.27
66,0.49,0.5,0.49,0.47,0.32,0.75,0.35,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.25,0.25,0.26
67,0.48,0.5,0.49,0.46,0.32,0.75,0.33,0.22,0.24,0.23,0.23,0.24,0.24,0.24,0.23,0.26,0.25,0.26
68,0.49,0.5,0.49,0.47,0.32,0.74,0.34,0.24,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.26,0.26,0.27
69,0.49,0.5,0.49,0.47,0.32,0.74,0.38,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.26,0.27
70,0.48,0.5,0.49,0.47,0.32,0.73,0.32,0.25,0.27,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.27,0.27
71,0.47,0.5,0.49,0.47,0.32,0.73,0.26,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.28
72,0.5,0.5,0.49,0.47,0.32,0.72,0.28,0.27,0.28,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.28,0.28
73,0.48,0.5,0.49,0.47,0.32,0.72,0.31,0.3,0.28,0.28,0.28,0.28,0.27,0.28,0.28,0.28,0.29,0.29
74,0.49,0.5,0.49,0.47,0.32,0.71,0.27,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.3
75,0.49,0.5,0.49,0.47,0.32,0.7,0.29,0.29,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.3,0.31
76,0.48,0.5,0.49,0.46,0.32,0.7,0.37,0.3,0.29,0.3,0.3,0.3,0.29,0.3,0.3,0.3,0.3,0.31
77,0.49,0.5,0.55,0.48,0.32,0.69,0.36,0.3,0.3,0.31,0.3,0.3,0.3,0.3,0.31,0.31,0.31,0.31
78,0.48,0.5,0.55,0.47,0.32,0.69,0.35,0.33,0.31,0.31,0.31,0.31,0.3,0.31,0.31,0.32,0.31,0.32
79,0.47,0.5,0.49,0.46,0.32,0.68,0.32,0.34,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
80,0.5,0.5,0.49,0.47,0.32,0.68,0.27,0.36,0.32,0.33,0.33,0.33,0.32,0.33,0.33,0.32,0.33,0.33
81,0.48,0.5,0.49,0.47,0.32,0.67,0.29,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.33
82,0.49,0.5,0.49,0.49,0.32,0.66,0.3,0.32,0.33,0.34,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.34
83,0.49,0.5,0.49,0.48,0.32,0.66,0.29,0.34,0.33,0.35,0.34,0.34,0.34,0.34,0.35,0.34,0.34,0.34
84,0.48,0.5,0.49,0.49,0.32,0.66,0.41,0.4,0.34,0.35,0.35,0.35,0.34,0.35,0.35,0.35,0.35,0.34
85,0.48,0.5,0.49,0.48,0.32,0.65,0.32,0.41,0.35,0.36,0.36,0.36,0.35,0.36,0.36,0.35,0.36,0.35
86,0.49,0.5,0.49,0.49,0.32,0.64,0.36,0.35,0.36,0.37,0.36,0.36,0.36,0.36,0.37,0.36,0.36,0.35
87,0.48,0.5,0.49,0.5,0.32,0.64,0.36,0.36,0.36,0.37,0.37,0.37,0.36,0.37,0.37,0.36,0.37,0.37
88,0.49,0.5,0.49,0.49,0.32,0.63,0.28,0.35,0.37,0.38,0.37,0.37,0.37,0.37,0.38,0.36,0.37,0.36
89,0.5,0.5,0.49,0.5,0.32,0.63,0.32,0.35,0.38,0.38,0.38,0.38,0.37,0.38,0.38,0.36,0.37,0.36
90,0.47,0.5,0.49,0.47,0.32,0.63,0.38,0.36,0.37,0.39,0.38,0.38,0.37,0.38,0.39,0.36,0.37,0.37
91,0.48,0.5,0.49,0.47,0.32,0.63,0.37,0.36,0.38,0.39,0.39,0.38,0.38,0.38,0.39,0.37,0.38,0.37
92,0.49,0.5,0.49,0.49,0.32,0.62,0.42,0.38,0.37,0.39,0.39,0.39,0.38,0.39,0.39,0.37,0.38,0.37
93,0.48,0.5,0.49,0.5,0.32,0.62,0.42,0.41,0.38,0.4,0.4,0.39,0.39,0.39,0.4,0.38,0.39,0.38
94,0.49,0.5,0.49,0.5,0.32,0.61,0.4,0.41,0.38,0.4,0.4,0.4,0.39,0.4,0.4,0.39,0.39,0.39
95,0.48,0.5,0.49,0.5,0.32,0.61,0.35,0.37,0.39,0.41,0.4,0.4,0.39,0.4,0.41,0.39,0.39,0.38
96,0.49,0.5,0.49,0.51,0.32,0.61,0.35,0.39,0.38,0.41,0.4,0.4,0.39,0.4,0.41,0.38,0.39,0.38
97,0.52,0.5,0.49,0.51,0.32,0.61,0.36,0.37,0.38,0.41,0.4,0.4,0.4,0.4,0.41,0.39,0.39,0.38
98,0.53,0.5,0.49,0.51,0.32,0.61,0.34,0.37,0.38,0.4,0.4,0.4,0.39,0.4,0.4,0.37,0.39,0.38
99,0.5,0.5,0.49,0.49,0.32,0.61,0.35,0.39,0.39,0.41,0.41,0.41,0.4,0.41,0.41,0.39,0.4,0.38
100,0.49,0.5,0.49,0.51,0.32,0.6,0.32,0.4,0.39,0.41,0.41,0.41,0.4,0.41,0.41,0.39,0.4,0.39
101,0.5,0.5,0.49,0.51,0.32,0.6,0.36,0.39,0.4,0.42,0.42,0.41,0.41,0.41,0.42,0.4,0.4,0.39
102,0.5,0.5,0.49,0.51,0.32,0.6,0.39,0.41,0.4,0.42,0.42,0.42,0.41,0.42,0.42,0.4,0.4,0.39
103,0.48,0.5,0.49,0.5,0.32,0.59,0.33,0.44,0.41,0.43,0.42,0.42,0.42,0.42,0.43,0.4,0.41,0.39
104,0.49,0.5,0.49,0.51,0.32,0.59,0.33,0.4,0.4,0.43,0.42,0.42,0.41,0.42,0.43,0.4,0.41,0.39
105,0.49,0.5,0.49,0.51,0.32,0.59,0.35,0.43,0.41,0.43,0.43,0.43,0.42,0.43,0.43,0.4,0.41,0.39
106,0.5,0.5,0.49,0.51,0.32,0.59,0.44,0.48,0.42,0.43,0.43,0.43,0.42,0.43,0.43,0.4,0.41,0.4
107,0.51,0.5,0.55,0.53,0.32,0.59,0.48,0.43,0.42,0.44,0.43,0.43,0.42,0.43,0.44,0.41,0.42,0.4
108,0.51,0.5,0.49,0.52,0.32,0.58,0.4,0.4,0.42,0.44,0.44,0.43,0.43,0.43,0.44,0.4,0.42,0.4
109,0.49,0.5,0.55,0.51,0.32,0.58,0.38,0.42,0.42,0.45,0.44,0.44,0.44,0.44,0.45,0.41,0.43,0.41
110,0.47,0.5,0.55,0.5,0.32,0.57,0.44,0.43,0.42,0.45,0.45,0.44,0.44,0.44,0.45,0.43,0.43,0.42
111,0.5,0.5,0.49,0.52,0.32,0.57,0.52,0.44,0.42,0.45,0.45,0.44,0.44,0.44,0.45,0.42,0.43,0.41
112,0.48,0.5,0.55,0.52,0.32,0.57,0.49,0.41,0.42,0.46,0.45,0.45,0.44,0.45,0.46,0.43,0.44,0.41
113,0.52,0.5,0.49,0.52,0.32,0.57,0.45,0.43,0.42,0.46,0.46,0.45,0.45,0.45,0.46,0.43,0.44,0.42
114,0.49,0.5,0.49,0.51,0.32,0.56,0.39,0.45,0.43,0.46,0.46,0.46,0.45,0.46,0.46,0.43,0.44,0.42
115,0.52,0.5,0.55,0.51,0.32,0.56,0.39,0.46,0.44,0.47,0.46,0.46,0.45,0.46,0.47,0.43,0.44,0.42
116,0.47,0.5,0.49,0.53,0.32,0.56,0.41,0.43,0.44,0.47,0.47,0.47,0.46,0.47,0.47,0.44,0.45,0.42
117,0.51,0.5,0.49,0.5,0.32,0.55,0.5,0.44,0.44,0.47,0.47,0.47,0.46,0.47,0.47,0.44,0.45,0.42
118,0.49,0.5,0.49,0.51,0.32,0.55,0.47,0.46,0.45,0.48,0.48,0.47,0.47,0.47,0.48,0.44,0.45,0.43
119,0.53,0.5,0.49,0.51,0.32,0.55,0.44,0.48,0.45,0.48,0.48,0.48,0.47,0.48,0.48,0.44,0.46,0.43
120,0.48,0.5,0.74,0.51,0.32,0.54,0.41,0.46,0.46,0.49,0.49,0.48,0.48,0.48,0.49,0.45,0.46,0.43
121,0.49,0.5,0.49,0.49,0.32,0.54,0.35,0.45,0.46,0.5,0.49,0.49,0.49,0.49,0.5,0.45,0.47,0.44
122,0.48,0.5,0.49,0.52,0.32,0.53,0.41,0.44,0.47,0.5,0.49,0.49,0.49,0.49,0.5,0.45,0.47,0.44
123,0.48,0.5,0.49,0.53,0.32,0.53,0.42,0.49,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.46,0.48,0.44
124,0.52,0.5,0.55,0.52,0.58,0.52,0.42,0.51,0.47,0.51,0.51,0.51,0.51,0.51,0.51,0.47,0.48,0.45
125,0.49,0.5,0.49,0.53,0.32,0.52,0.45,0.46,0.48,0.51,0.51,0.51,0.5,0.51,0.51,0.47,0.48,0.45
126,0.5,0.5,0.55,0.52,0.58,0.52,0.47,0.5,0.49,0.52,0.52,0.51,0.51,0.51,0.52,0.48,0.49,0.46
127,0.53,0.5,0.55,0.52,0.58,0.51,0.86,0.51,0.49,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.49,0.47
128,0.52,0.5,0.62,0.52,0.58,0.51,0.52,0.51,0.49,0.53,0.53,0.52,0.52,0.52,0.53,0.49,0.5,0.47
129,0.53,0.5,0.49,0.53,0.58,0.5,0.51,0.52,0.5,0.53,0.53,0.53,0.53,0.53,0.53,0.49,0.5,0.46
130,0.52,0.5,0.49,0.51,0.58,0.5,0.41,0.53,0.5,0.53,0.53,0.53,0.53,0.53,0.53,0.48,0.5,0.46
131,0.52,0.5,0.49,0.52,0.58,0.5,0.46,0.51,0.51,0.54,0.54,0.53,0.53,0.53,0.54,0.49,0.51,0.47
132,0.55,0.5,0.49,0.51,0.58,0.49,0.42,0.52,0.51,0.54,0.54,0.53,0.54,0.53,0.54,0.5,0.51,0.47
133,0.57,0.5,0.49,0.52,0.58,0.5,0.35,0.47,0.51,0.54,0.54,0.53,0.54,0.53,0.54,0.49,0.51,0.47
134,0.58,0.5,0.49,0.52,0.58,0.49,0.4,0.53,0.51,0.55,0.54,0.54,0.54,0.54,0.55,0.5,0.51,0.48
135,0.55,0.5,0.49,0.53,0.58,0.49,0.42,0.53,0.51,0.55,0.55,0.54,0.54,0.54,0.55,0.5,0.52,0.48
136,0.59,0.5,0.55,0.51,0.58,0.49,0.43,0.53,0.52,0.55,0.55,0.55,0.55,0.55,0.55,0.5,0.52,0.48
137,0.59,0.5,0.49,0.53,0.58,0.49,0.39,0.52,0.51,0.55,0.55,0.55,0.55,0.55,0.55,0.5,0.52,0.48
138,0.56,0.5,0.49,0.51,0.58,0.48,0.37,0.51,0.51,0.56,0.56,0.55,0.55,0.55,0.56,0.5,0.52,0.48
139,0.53,0.5,0.49,0.52,0.58,0.48,0.5,0.5,0.52,0.56,0.56,0.55,0.55,0.55,0.56,0.51,0.52,0.48
140,0.49,0.5,0.49,0.53,0.58,0.48,0.48,0.51,0.52,0.56,0.56,0.55,0.56,0.55,0.56,0.51,0.53,0.48
141,0.49,0.5,0.49,0.52,0.58,0.47,0.51,0.56,0.53,0.56,0.56,0.56,0.56,0.56,0.56,0.52,0.53,0.5
142,0.49,0.5,0.55,0.51,0.58,0.47,0.57,0.54,0.53,0.57,0.57,0.56,0.57,0.56,0.57,0.52,0.53,0.49
143,0.52,0.5,0.49,0.53,0.58,0.46,0.55,0.56,0.54,0.58,0.58,0.57,0.58,0.57,0.58,0.52,0.54,0.49
144,0.5,0.5,0.49,0.52,0.58,0.46,0.51,0.54,0.54,0.58,0.58,0.57,0.58,0.57,0.58,0.53,0.54,0.5
145,0.51,0.5,0.49,0.52,0.58,0.46,0.43,0.53,0.54,0.58,0.58,0.58,0.58,0.58,0.58,0.53,0.55,0.5
146,0.52,0.5,0.49,0.51,0.58,0.45,0.5,0.55,0.55,0.59,0.59,0.58,0.59,0.58,0.59,0.53,0.55,0.5
147,0.53,0.5,0.49,0.51,0.58,0.45,0.49,0.59,0.56,0.59,0.59,0.59,0.6,0.59,0.59,0.54,0.56,0.5
148,0.5,0.5,0.49,0.52,0.58,0.44,0.5,0.6,0.57,0.6,0.6,0.6,0.61,0.6,0.6,0.54,0.57,0.51
149,0.49,0.5,0.49,0.52,0.58,0.43,0.46,0.56,0.57,0.61,0.62,0.61,0.62,0.61,0.61,0.55,0.57,0.51
150,0.52,0.5,0.49,0.51,0.58,0.43,0.48,0.57,0.58,0.61,0.62,0.61,0.63,0.61,0.61,0.55,0.58,0.52
151,0.5,0.5,0.49,0.52,0.58,0.42,0.57,0.56,0.58,0.62,0.62,0.61,0.62,0.61,0.62,0.56,0.58,0.52
152,0.51,0.5,0.49,0.51,0.58,0.43,0.5,0.58,0.58,0.61,0.62,0.61,0.62,0.61,0.61,0.55,0.58,0.52
153,0.5,0.5,0.49,0.51,0.58,0.43,0.58,0.53,0.57,0.61,0.61,0.6,0.61,0.6,0.61,0.55,0.57,0.52
154,0.51,0.5,0.49,0.52,0.58,0.43,0.48,0.53,0.57,0.61,0.61,0.6,0.61,0.6,0.61,0.55,0.57,0.51
155,0.53,0.5,0.49,0.51,0.58,0.43,0.45,0.51,0.57,0.61,0.61,0.6,0.61,0.6,0.61,0.55,0.57,0.51
156,0.5,0.5,0.55,0.53,0.58,0.43,0.46,0.55,0.57,0.6,0.61,0.6,0.61,0.6,0.6,0.55,0.57,0.51
157,0.5,0.5,0.49,0.51,0.58,0.44,0.58,0.59,0.57,0.6,0.6,0.59,0.6,0.59,0.6,0.54,0.56,0.51
158,0.51,0.5,0.49,0.5,0.58,0.45,0.57,0.57,0.55,0.59,0.59,0.59,0.59,0.59,0.59,0.54,0.56,0.5
159,0.51,0.5,0.49,0.53,0.58,0.45,0.52,0.56,0.55,0.59,0.59,0.58,0.59,0.58,0.59,0.53,0.56,0.51
160,0.52,0.5,0.55,0.5,0.58,0.45,0.54,0.58,0.55,0.58,0.58,0.58,0.58,0.58,0.58,0.53,0.55,0.5
161,0.49,0.5,0.55,0.51,0.58,0.45,0.53,0.56,0.55,0.58,0.58,0.58,0.58,0.58,0.58,0.52,0.55,0.49
162,0.47,0.5,0.49,0.53,0.58,0.46,0.49,0.54,0.54,0.57,0.57,0.57,0.57,0.57,0.57,0.51,0.54,0.49
163,0.5,0.5,0.49,0.52,0.58,0.47,0.42,0.58,0.53,0.57,0.57,0.56,0.57,0.56,0.57,0.52,0.54,0.49
164,0.49,0.5,0.49,0.52,0.58,0.47,0.48,0.56,0.53,0.57,0.57,0.56,0.57,0.56,0.57,0.51,0.54,0.48
165,0.52,0.5,0.49,0.52,0.58,0.47,0.5,0.56,0.52,0.56,0.56,0.56,0.56,0.56,0.56,0.51,0.53,0.48
166,0.54,0.5,0.49,0.53,0.58,0.47,0.51,0.57,0.53,0.57,0.57,0.56,0.57,0.56,0.57,0.51,0.54,0.48
167,0.52,0.5,0.49,0.51,0.58,0.47,0.48,0.52,0.52,0.56,0.56,0.56,0.56,0.56,0.56,0.51,0.53,0.48
168,0.51,0.5,0.49,0.51,0.58,0.47,0.48,0.58,0.52,0.56,0.56,0.56,0.56,0.56,0.56,0.51,0.53,0.48
169,0.57,0.5,0.74,0.51,0.58,0.45,0.42,0.58,0.55,0.59,0.59,0.58,0.59,0.58,0.59,0.53,0.55,0.5
170,0.5,0.5,0.62,0.52,0.58,0.46,0.51,0.53,0.53,0.57,0.57,0.56,0.57,0.56,0.57,0.52,0.54,0.5
171,0.52,0.5,0.49,0.52,0.58,0.47,0.43,0.55,0.53,0.56,0.56,0.56,0.56,0.56,0.56,0.5,0.54,0.48
172,0.48,0.5,0.49,0.52,0.58,0.47,0.48,0.54,0.52,0.57,0.57,0.56,0.56,0.56,0.57,0.51,0.54,0.48
173,0.49,0.5,0.49,0.52,0.58,0.47,0.45,0.53,0.53,0.56,0.57,0.56,0.57,0.56,0.56,0.51,0.54,0.48
174,0.54,0.5,0.49,0.53,0.58,0.47,0.47,0.53,0.53,0.56,0.57,0.56,0.56,0.56,0.57,0.51,0.54,0.48
175,0.7,0.5,0.49,0.52,0.58,0.47,0.46,0.51,0.53,0.56,0.56,0.56,0.57,0.56,0.56,0.51,0.53,0.48
176,0.47,0.5,0.49,0.52,0.58,0.47,0.46,0.55,0.52,0.56,0.56,0.56,0.55,0.56,0.56,0.51,0.53,0.48
177,0.48,0.5,0.55,0.49,0.58,0.58,0.39,0.45,0.42,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.4
178,0.49,0.5,1.0,0.52,0.58,0.53,0.98,0.41,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.64,0.46,1.0
179,0.52,0.5,0.55,0.51,0.58,0.4,1.0,0.58,0.62,0.63,0.62,0.63,0.62,0.63,0.63,0.75,0.59,1.0
180,0.49,0.5,0.55,0.51,0.58,0.39,1.0,0.6,0.62,0.63,0.63,0.63,0.62,0.63,0.63,0.74,0.61,1.0
181,0.5,0.5,0.49,0.51,0.58,0.38,0.9,0.61,0.63,0.63,0.63,0.63,0.62,0.63,0.63,0.71,0.62,0.96
182,0.47,0.5,0.55,0.5,0.58,0.39,0.7,0.64,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.7,0.61,0.95
183,0.5,0.5,0.49,0.52,0.58,0.39,0.83,0.64,0.62,0.62,0.62,0.62,0.61,0.62,0.62,0.67,0.61,0.84
184,0.5,0.5,0.55,0.5,0.58,0.39,0.79,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.67,0.61,0.8
185,0.47,0.5,0.49,0.5,0.58,0.39,0.64,0.61,0.62,0.62,0.62,0.63,0.62,0.63,0.62,0.67,0.61,0.79
